Index,Part Name,Collection ID,Unit ID,Part Type,X Part,Rarity,Attr,W Tag 1,W Tag 2,Armor,Melee ATK,Shot ATK,Melee DEF,Shot DEF,Beam RES,Phys. RES,EX ID,Trait Condition,Trait Effect,Trait,Wep Type,Wep Cat,Notes
2139,Beam Rifle [Blue Destiny Unit-2 (BD)],00-00-7a-01,331,7,,3,3,17,25,1390,0,2050,0,0,368,519,,"While ""Zeon""",Job Gauge increase boosted 13%,"While ""Zeon"", Job Gauge increase boosted 13%",1,8,Judgement Coins (Weekly Event)
2140,Shield [Blue Destiny Unit-2 (BD)],00-00-8-01,331,8,,3,3,17,6,1390,0,0,1390,681,150,705,,When Melee ATK is over 5000,Enemy Sp. Shot power reduced 25%,"When Melee ATK is over 5000, Enemy Sp. Shot power reduced 25%",,,Judgement Coins (Weekly Event)
2141,Blue Destiny Unit-3 (BD),00-00-1-01,332,1,,3,1,16,25,681,0,2774,681,1075,150,0,699,,,,,,Judgement Coins (Weekly Event)
2142,Blue Destiny Unit-3 (BD),00-00-2-01,332,2,,3,1,16,25,1921,353,750,681,681,519,0,698,,,,,,Judgement Coins (Weekly Event)
2143,Blue Destiny Unit-3 (BD),00-00-3-01,332,3,,3,1,16,13,900,1723,833,1075,1075,54,0,,"While ""Federation""",Buff EX Skill time up 15%,"While ""Federation"", Buff EX Skill time up 15%",,,Judgement Coins (Weekly Event)
2144,Blue Destiny Unit-3 (BD),00-00-4-01,332,4,,3,1,16,13,1075,353,750,681,1075,519,368,,With Power attribute (self),Shooting CRIT rate boosted 17%,"With Power attribute (self), Shooting CRIT rate boosted 17%",,,Judgement Coins (Weekly Event)
2145,Blue Destiny Unit-3 (BD),00-00-5-01,332,5,,3,1,16,13,1390,353,468,681,1075,519,368,217,,,,,,Judgement Coins (Weekly Event)
2146,Beam Rifle [Blue Destiny Unit-3 (BD)],00-00-7a-01,332,7,,3,1,16,13,1075,0,3308,0,0,368,150,,"While ""Federation""",Initial EX Skill charge boosted 12%,"While ""Federation"", Initial EX Skill charge boosted 12%",1,8,Judgement Coins (Weekly Event)
2147,Shield [Blue Destiny Unit-3 (BD)],00-00-8-01,332,8,,3,1,16,25,1390,0,0,681,1390,705,150,,When Shot ATK is over 5000,Enemy Strong Melee power reduced 25%,"When Shot ATK is over 5000, Enemy Strong Melee power reduced 25%",,,Judgement Coins (Weekly Event)
2148,Destiny Gundam [Heine Westenfluss],00-00-1-01,333,1,,5,3,5,13,1252,616,4390,506,720,0,1218,,When 1 enemies shot down,Reduce Cooldown by 50% once.,"When 1 enemies shot down, Reduce Cooldown by 50% once.",,,Christmas Capsules
2149,Destiny Gundam [Heine Westenfluss],00-00-2-01,333,2,,5,3,5,13,2225,1125,1514,1237,1316,0,1334,,When Shot ATK is over 5000,Shooting power boosted 30%,"When Shot ATK is over 5000, Shooting power boosted 30%",,,Christmas Capsules
2150,Destiny Gundam [Heine Westenfluss],00-00-3-01,333,3,,5,3,5,13,302,3969,1948,722,1035,0,760,700,,,,,,Christmas Capsules
2151,Destiny Gundam [Heine Westenfluss],00-00-4-01,333,4,,5,3,5,3,1239,1113,1025,1033,1604,600,1385,,Melee DMG raised 20%,EX Skill power boosted 30%,"Melee DMG raised 20%, EX Skill power boosted 30%",,,Christmas Capsules
2152,Destiny Gundam [Heine Westenfluss],00-00-5-01,333,5,,5,3,5,3,1243,808,1035,1316,1426,494,1429,701,,,,,,Christmas Capsules
2153,Arondight [Destiny (Heine)],00-00-6c-01,333,6,,5,3,5,13,497,5201,0,0,0,280,1054,833,,,,1,5,Christmas Capsules
2154,High-Energy Beam Rifle [Destiny (Heine)],00-00-7a-01,333,7,,5,3,5,3,506,0,5390,0,0,203,885,,When attacking with Beam,Shooting power boosted 30%,"When attacking with Beam, Shooting power boosted 30%",1,8,Christmas Capsules
2155,Anti-Beam Shield [Destiny (Heine)],00-00-8-01,333,8,,5,3,5,3,502,928,1125,1250,1502,1751,636,,With Speed attribute (self),Enemy Shooting power reduced 30%,"With Speed attribute (self), Enemy Shooting power reduced 30%",,,Christmas Capsules
2156,Gundam Barbatos Lupus Rex,00-00-1-01,334,1,,5,3,1,9,2439,1512,2534,1245,1412,372,540,399,,,,,,Sokai Festival
2157,Gundam Barbatos Lupus Rex,00-00-2-01,334,2,,5,3,1,9,2237,1842,911,0,2044,0,1045,,Cooldown time up 10%,Melee power boosted 30%,"Cooldown time up 10%, Melee power boosted 30%",,,Sokai Festival
2158,Gundam Barbatos Lupus Rex,00-00-3-01,334,3,,5,3,1,6,0,4576,499,1422,1749,0,535,702,,,,,,Sokai Festival
2159,Gundam Barbatos Lupus Rex,00-00-4-01,334,4,,5,3,1,9,1245,1247,717,1507,2044,862,365,,Shot DMG raised 20%,EX Skill power boosted 30%,"Shot DMG raised 20%, EX Skill power boosted 30%",,,Sokai Festival
2160,Gundam Barbatos Lupus Rex,00-00-5-01,334,5,,5,3,1,6,504,1842,717,1759,1749,592,862,703,,,,,,Sokai Festival
2161,Super-Large Mace,00-00-6c-01,334,6,,5,3,1,6,707,5110,0,712,0,304,766,704,,,,2,5,Sokai Festival
2162,Gundam Kimaris Vidar,00-00-1-01,335,1,,5,1,10,11,1241,1028,3753,1953,807,541,0,403,,,,,,Sokai Festival
2163,Gundam Kimaris Vidar,00-00-2-01,335,2,,5,1,10,11,2238,1423,1241,1950,1511,585,0,,With Lance category equipped,Melee power boosted 30%,"With Lance category equipped, Melee power boosted 30%",,,Sokai Festival
2164,Gundam Kimaris Vidar,00-00-3-01,335,3,,5,1,10,11,1125,4492,1418,2044,410,159,0,,When attacking with Physical,Melee power boosted 30%,"When attacking with Physical, Melee power boosted 30%",,,Sokai Festival
2165,Gundam Kimaris Vidar,00-00-4-01,335,4,,5,1,10,6,1846,1602,719,1425,1117,762,787,705,,,,,,Sokai Festival
2166,Gundam Kimaris Vidar,00-00-5-01,335,5,,5,1,10,6,1848,1422,614,2327,1514,860,368,706,,,,,,Sokai Festival
2167,Sword [Kimaris Vidar],00-00-6a-01,335,6,,5,1,10,6,600,5106,0,709,0,595,302,,"While ""High Firepower""",EX Skill power boosted 30%,"While ""High Firepower"", EX Skill power boosted 30%",2,2,Sokai Festival
2168,Drill Lance,00-00-6d-01,335,6,,5,1,10,11,819,5452,0,0,0,660,909,,With Power attribute (self),Job Gauge increase boosted 17%,"With Power attribute (self), Job Gauge increase boosted 17%",2,6,Sokai Festival
2169,Bertigo,00-00-1-01,336,1,,3,2,7,8,681,353,2541,833,833,0,150,,When attacking with Beam,Shooting power boosted 25%,"When attacking with Beam, Shooting power boosted 25%",,,Purple Coins (Weekly Event)
2170,Bertigo,00-00-2-01,336,2,,3,2,7,8,1075,468,833,1075,1075,0,519,,Long-Shooter Job,EX Skill piercing boosted 22%,"Long-Shooter Job, EX Skill piercing boosted 22%",,,Purple Coins (Weekly Event)
2171,Bertigo,00-00-3-01,336,3,,3,2,7,24,681,1872,1172,900,900,0,0,707,,,,,,Purple Coins (Weekly Event)
2172,Bertigo,00-00-4-01,336,4,,3,2,7,24,681,353,681,956,956,390,546,,"While ""Mid-Range""",Mid Shot Attack raised 14%,"While ""Mid-Range"", Mid Shot Attack raised 14%",,,Purple Coins (Weekly Event)
2173,Beam Saber [Bertigo],00-00-6-01,336,6,,3,2,7,24,681,1723,0,681,681,150,519,,With Technique attribute (self),Enemy Melee power reduced 25%,"With Technique attribute (self), Enemy Melee power reduced 25%",1,4,Purple Coins (Weekly Event)
2174,Gundam Astraea Type-F,00-00-1-01,337,1,,5,1,9,6,1861,719,1039,2256,504,374,606,,Shot DMG raised 10%,EX Skill power boosted 30%,"Shot DMG raised 10%, EX Skill power boosted 30%",,,Pick-Up Drop Rate Step-Up Capsules [No.037] Bonus Coins
2175,Gundam Astraea Type-F,00-00-2-01,337,2,,5,1,9,1,2066,1039,504,2471,1039,0,782,708,,,,,,Pick-Up Drop Rate Step-Up Capsules [No.037] Bonus Coins
2176,Gundam Astraea Type-F,00-00-3-01,337,3,,5,1,9,1,504,4431,504,2066,504,163,163,709,,,,,,Pick-Up Drop Rate Step-Up Capsules [No.037] Bonus Coins
2177,Gundam Astraea Type-F,00-00-4-01,337,4,,5,1,9,13,1039,1039,504,2471,1039,782,546,710,,,,,,Pick-Up Drop Rate Step-Up Capsules [No.037] Bonus Coins
2178,Gundam Astraea Type-F,00-00-5-01,337,5,,5,1,9,6,1039,1039,504,2471,1039,546,782,711,,,,,,Pick-Up Drop Rate Step-Up Capsules [No.037] Bonus Coins
2179,GN Hammer [Astraea Type-F],00-00-6-01,337,6,,5,1,9,6,504,5451,0,0,0,276,546,,"While ""Close Combat""",Melee power boosted 30%,"While ""Close Combat"", Melee power boosted 30%",2,7,Pick-Up Drop Rate Step-Up Capsules [No.037] Bonus Coins
2180,GN Launcher [Astraea Type-F],00-00-7d-01,337,7,,5,1,9,1,1523,0,3085,0,0,546,782,,After 20s pass,EX Skill power boosted 30%,"After 20s pass, EX Skill power boosted 30%",1,12,Pick-Up Drop Rate Step-Up Capsules [No.037] Bonus Coins
2181,GN Beam Rifle [Astraea Type-F],00-00-7a-01,337,7,,5,1,9,1,1523,0,3085,0,0,546,782,,When Melee ATK is over 5000,Enemy Melee power reduced 30%,"When Melee ATK is over 5000, Enemy Melee power reduced 30%",1,8,Pick-Up Drop Rate Step-Up Capsules [No.037] Bonus Coins
2182,GN Hand Missile [Astraea Type-F],00-00-7d-01,337,7,,5,1,9,13,1523,0,3085,0,0,546,782,,With Power attribute (self),EX Skill CD reduced 20%,"With Power attribute (self), EX Skill CD reduced 20%",2,12,Pick-Up Drop Rate Step-Up Capsules [No.037] Bonus Coins
2183,GN Shield [Astraea Type-F],00-00-8-01,338,8,,5,1,9,13,1039,0,0,3490,1039,163,1308,,In-Fighter Job,Buff EX Skill time up 22%,"In-Fighter Job, Buff EX Skill time up 22%",,,Pick-Up Drop Rate Step-Up Capsules [No.037] Bonus Coins
2184,Full Armor Gundam,00-00-1-01,338,1,,3,3,11,16,956,353,2607,1075,353,0,258,,With Speed attribute (self),Shooting DMG output boosted by 20,"With Speed attribute (self), Shooting DMG output boosted by 20",,,FSWS Coins (Weekly Event)
2185,Full Armor Gundam,00-00-2-01,338,2,,3,3,11,16,1300,353,556,1533,681,0,573,712,,,,,,FSWS Coins (Weekly Event)
2186,Full Armor Gundam,00-00-3-01,338,3,,3,3,11,25,956,1723,1075,1171,681,0,0,713,,,,,,FSWS Coins (Weekly Event)
2187,Full Armor Gundam,00-00-4-01,338,4,,3,3,11,25,956,353,681,1171,353,368,573,714,,,,,,FSWS Coins (Weekly Event)
2188,Full Armor Gundam,00-00-5-01,338,5,,3,3,11,16,956,353,900,1533,353,368,573,715,,,,,,FSWS Coins (Weekly Event)
2189,Sengoku Astray Gundam,00-00-1-01,339,1,,5,1,9,10,1502,1512,3258,1507,1023,644,409,,With Power attribute (self),Initial EX Skill charge boosted 20%,"With Power attribute (self), Initial EX Skill charge boosted 20%",,,Sengoku Materials (Event Blueprint)
2190,Sengoku Astray Gundam,00-00-2-01,339,2,,5,1,9,6,2539,2044,1021,2049,1028,761,267,,With Dual Sabers category equipped,Melee power boosted 30%,"With Dual Sabers category equipped, Melee power boosted 30%",,,Sengoku Materials (Event Blueprint)
2191,Sengoku Astray Gundam,00-00-3-01,339,3,,5,1,10,6,0,4576,1507,1847,1240,0,0,716,,,,,,Sengoku Materials (Event Blueprint)
2192,Sengoku Astray Gundam,00-00-4-01,339,4,,5,1,10,6,1028,1315,820,1842,1028,766,792,,When attacking with Physical,EX Skill power boosted 30%,"When attacking with Physical, EX Skill power boosted 30%",,,Sengoku Materials (Event Blueprint)
2193,Sengoku Astray Gundam,00-00-5-01,339,5,,5,1,9,6,1600,1842,820,2118,1023,890,639,717,,,,,,Sengoku Materials (Event Blueprint)
2194,Kikuichimonji/Kotetsu,00-00-6-01,339,6,,5,1,9,10,810,5391,0,0,0,896,639,,"While ""High Mobility""",Melee power boosted 30%,"While ""High Mobility"", Melee power boosted 30%",2,4,Sengoku Materials (Event Blueprint)
2195,Oni No Tate,00-00-8-01,339,8,,5,1,9,6,503,1849,0,1245,918,1420,787,,When Armor is 60% or more,Recover 20 Armor gradually,"When Armor is 60% or more, Recover 20 Armor gradually",,,Sengoku Materials (Event Blueprint)
2196,Gundam G-Self [Perfect Pack],00-00-1-01,340,1,,5,1,3,9,1409,613,4484,815,914,544,373,,"While ""Ace Excl.""",Shooting power boosted 30%,"While ""Ace Excl."", Shooting power boosted 30%",,,Gundam Battle Festival
2197,Gundam G-Self [Perfect Pack],00-00-2-01,340,2,,5,1,3,9,2234,1110,1513,1317,2044,762,0,718,,,,,,Gundam Battle Festival
2198,Gundam G-Self [Perfect Pack],00-00-3-01,340,3,,5,1,3,13,819,4164,1591,1507,1028,404,0,719,,,,,,Gundam Battle Festival
2199,Gundam G-Self [Perfect Pack],00-00-4-01,340,4,,5,1,3,13,1747,812,813,1309,1842,892,647,,With Power attribute (self),EX Skill power boosted 30%,"With Power attribute (self), EX Skill power boosted 30%",,,Gundam Battle Festival
2200,Gundam G-Self [Perfect Pack],00-00-5-01,340,5,,5,1,3,9,0,1110,1750,913,2317,1385,592,720,,,,,,Gundam Battle Festival
2201,Photon Armor Shield,00-00-8-01,340,8,,5,1,3,13,188,912,1024,1413,2232,1525,410,,When 1 enemies shot down,Boost Job Gauge by 50% once,"When 1 enemies shot down, Boost Job Gauge by 50% once",,,Gundam Battle Festival
2202,Knight Unicorn Gundam [Beast Mode],00-00-1-01,341,1,,5,2,6,9,2329,1417,2536,1417,1249,531,367,,With Technique attribute (self),Recover 20 Armor gradually,"With Technique attribute (self), Recover 20 Armor gradually",,,Gundam Battle Festival
2203,Knight Unicorn Gundam [Beast Mode],00-00-2-01,341,2,,5,2,6,9,2232,1754,926,1948,0,966,100,377,,,,,,Gundam Battle Festival
2204,Knight Unicorn Gundam [Beast Mode],00-00-3-01,341,3,,5,2,6,9,708,4488,505,1595,1425,527,0,,When Melee ATK is over 6000,EX Skill CD reduced 20%,"When Melee ATK is over 6000, EX Skill CD reduced 20%",,,Gundam Battle Festival
2205,Knight Unicorn Gundam [Beast Mode],00-00-4-01,341,4,,5,2,6,26,1250,1123,714,1938,1507,365,854,,In-Fighter Job,EX Skill power boosted 30%,"In-Fighter Job, EX Skill power boosted 30%",,,Gundam Battle Festival
2206,Knight Unicorn Gundam [Beast Mode],00-00-5-01,341,5,,5,2,6,26,721,1511,720,1946,1754,854,590,,With Technique attribute (self),Melee power boosted 30%,"With Technique attribute (self), Melee power boosted 30%",,,Gundam Battle Festival
2207,Magnum Sword,00-00-6a-01,341,6,,5,2,6,9,1245,5102,0,504,0,864,412,,When Armor is 60% or more,EX Skill power boosted 30%,"When Armor is 60% or more, EX Skill power boosted 30%",2,2,Gundam Battle Festival
2208,Akashic Binder,00-00-8-01,341,8,,5,2,6,26,1423,0,1117,1754,2444,1368,271,721,,,,,,Gundam Battle Festival
2209,Gundam AGE-2 Double Bullet,00-00-1-01,342,1,,3,1,13,26,681,440,2539,353,468,258,258,,"While ""Gundam Type""",Shooting power boosted 25%,"While ""Gundam Type"", Shooting power boosted 25%",,,Twin Gun Coins (Weekly Event)
2210,Gundam AGE-2 Double Bullet,00-00-2-01,342,2,,3,1,13,10,1389,750,750,681,833,315,315,,With Power attribute (self),Enemy EX Skill penetration reduced 22%,"With Power attribute (self), Enemy EX Skill penetration reduced 22%",,,Twin Gun Coins (Weekly Event)
2211,Gundam AGE-2 Double Bullet,00-00-3-01,342,3,,3,1,13,10,681,2492,1171,353,468,144,144,722,,,,,,Twin Gun Coins (Weekly Event)
2212,Gundam AGE-2 Double Bullet,00-00-4-01,342,4,,3,1,13,26,833,750,636,681,833,418,418,723,,,,,,Twin Gun Coins (Weekly Event)
2213,Gundam AGE-2 Double Bullet,00-00-5-01,342,5,,3,1,13,26,956,750,656,681,833,368,368,,When attacking with Beam,Close Shot Attack raised 14%,"When attacking with Beam, Close Shot Attack raised 14%",,,Twin Gun Coins (Weekly Event)
2214,Beam Saber [AGE-2 Double Bullet],00-00-6-01,342,6,,3,1,13,10,440,3153,0,0,0,445,445,,When Armor is 60% or more,Strong Melee CRIT rate boosted 17%,"When Armor is 60% or more, Strong Melee CRIT rate boosted 17%",1,4,Twin Gun Coins (Weekly Event)
2215,Full Armor 7th Gundam,00-00-1-01,343,1,,5,1,11,16,503,503,4096,503,2253,0,275,3,,,,,,5★ Part Guaranteed Step-Up Capsules & [No. 038] Bonus Coins
2216,Full Armor 7th Gundam,00-00-2-01,343,2,,5,1,11,16,2064,503,823,1036,2647,0,779,,"While ""Heavy Armor""",Enemy EX Skill power reduced 30%,"While ""Heavy Armor"", Enemy EX Skill power reduced 30%",,,5★ Part Guaranteed Step-Up Capsules & [No. 038] Bonus Coins
2217,Full Armor 7th Gundam,00-00-3-01,343,3,,5,1,11,16,927,3378,823,0,2647,275,275,,With Power attribute (self),Shooting power boosted 30%,"With Power attribute (self), Shooting power boosted 30%",,,5★ Part Guaranteed Step-Up Capsules & [No. 038] Bonus Coins
2218,Full Armor 7th Gundam,00-00-4-01,343,4,,5,1,11,20,1036,503,823,1036,2556,779,543,724,,,,,,5★ Part Guaranteed Step-Up Capsules & [No. 038] Bonus Coins
2219,Full Armor 7th Gundam,00-00-5-01,343,5,,5,1,11,20,1036,503,927,1036,2467,543,779,725,,,,,,5★ Part Guaranteed Step-Up Capsules & [No. 038] Bonus Coins
2220,Beam Saber [Full Armor 7th Gundam],00-00-6-01,343,6,,5,1,11,20,1520,3080,0,0,1036,543,779,,"While ""For Space""",EX Skill power boosted 30%,"While ""For Space"", EX Skill power boosted 30%",1,4,5★ Part Guaranteed Step-Up Capsules & [No. 038] Bonus Coins
2221,Beam Rifle [Full Armor 7th Gundam],00-00-7a-01,343,7,,5,1,11,16,503,0,5247,0,0,275,543,,"While ""Federation""",Shooting power boosted 30%,"While ""Federation"", Shooting power boosted 30%",1,8,5★ Part Guaranteed Step-Up Capsules & [No. 038] Bonus Coins
2222,Shield [Full Armor 7th Gundam],00-00-8-01,343,8,,5,1,11,20,1036,0,300,1036,3583,0,1303,,With Power attribute (self),Enemy Shooting power reduced 30%,"With Power attribute (self), Enemy Shooting power reduced 30%",,,5★ Part Guaranteed Step-Up Capsules & [No. 038] Bonus Coins
2223,Gundam GP04 [Gebera],00-00-1-01,344,1,,3,2,16,8,680,352,2767,554,680,367,149,,With Technique attribute (self),Shooting CRIT rate boosted 17%,"With Technique attribute (self), Shooting CRIT rate boosted 17%",,,Project Device A (Weekly Event)
2224,Gundam GP04 [Gebera],00-00-2-01,344,2,,3,2,16,8,1387,749,830,899,1071,515,0,,"While ""Federation""",Shooting power boosted 25%,"While ""Federation"", Shooting power boosted 25%",,,Project Device A (Weekly Event)
2225,Gundam GP04 [Gebera],00-00-3-01,344,3,,3,2,16,8,680,2484,1169,468,680,0,0,,,EX Skill DMG taken reduced by 20,EX Skill DMG taken reduced by 20,,,Project Device A (Weekly Event)
2226,Gundam GP04 [Gebera],00-00-4-01,344,4,,3,2,16,26,680,749,468,830,1071,367,515,,Long-Shooter Job,Shooting power boosted 25%,"Long-Shooter Job, Shooting power boosted 25%",,,Project Device A (Weekly Event)
2227,Gundam GP04 [Gebera],00-00-5-01,344,5,,3,2,16,26,680,749,680,830,1071,515,367,726,,,,,,Project Device A (Weekly Event)
2228,Long-Range Rifle [GP04],00-00-7b-01,344,7,,3,2,16,8,440,0,3506,0,0,367,149,,When attacking with Beam,Shooting DMG output boosted by 20,"When attacking with Beam, Shooting DMG output boosted by 20",1,10,Project Device A (Weekly Event)
2229,Custom Beam Rifle [GP04],00-00-7c-01,344,7,,3,2,16,26,440,0,3506,0,0,367,149,59,,,,1,9,Project Device A (Weekly Event)
2230,Shield [GP04],00-00-8-01,344,8,,3,2,16,26,680,749,468,830,1071,851,0,,When Shot ATK is over 5000,Debuff EX Skill effect up 15%,"When Shot ATK is over 5000, Debuff EX Skill effect up 15%",,,Project Device A (Weekly Event)
2231,Ex-S Gundam,00-00-1-01,345,1,,6,2,3,10,0,706,4576,1021,1251,527,763,727,,,,,,Ex-S Gundam Capsule
2232,Ex-S Gundam,00-00-2-01,345,2,,6,2,3,10,1752,1017,1843,0,2039,1511,275,,With Long Rifle category equipped,Shooting power boosted 30%,"With Long Rifle category equipped, Shooting power boosted 30%",,,Ex-S Gundam Capsule
2233,Ex-S Gundam,00-00-3-01,345,3,,6,2,3,12,2447,3052,1501,490,1314,0,598,,When 1 enemies shot down,Reduce Cooldown 50% once.,"When 1 enemies shot down, Reduce Cooldown 50% once.",,,Ex-S Gundam Capsule
2234,Ex-S Gundam,00-00-4-01,345,4,,6,2,3,12,1508,504,1316,1418,2041,788,537,728,,,,,,Ex-S Gundam Capsule
2235,Ex-S Gundam,00-00-5-01,345,5,,6,2,3,12,1031,1033,1834,1302,1501,696,789,729,,,,,,Ex-S Gundam Capsule
2236,Beam Smartgun [Ex-S Gundam],00-00-7b-01,345,7,,6,2,3,12,600,0,5100,0,1422,491,704,,With Technique attribute (self),EX Skill power boosted 30%,"With Technique attribute (self), EX Skill power boosted 30%",1,10,Ex-S Gundam Capsule
2237,Gundam 00 Sky [Higher Than Sky Phase],00-00-1-01,346,1,,5,1,1,13,1837,1418,2521,2042,606,792,0,,When buffed,EX Skill power boosted 30%,"When buffed, EX Skill power boosted 30%",,,Sokai Festival
2238,Gundam 00 Sky [Higher Than Sky Phase],00-00-2-01,346,2,,5,1,1,9,2432,1314,505,2738,1317,792,0,,"While ""Protag.""",Melee power boosted 30%,"While ""Protag."", Melee power boosted 30%",,,Sokai Festival
2239,Gundam 00 Sky [Higher Than Sky Phase],00-00-3-01,346,3,,5,1,1,9,0,4052,710,2323,606,700,297,730,,,,,,Sokai Festival
2240,Gundam 00 Sky [Higher Than Sky Phase],00-00-4-01,346,4,,5,1,1,9,1511,813,1310,1310,2440,887,485,731,,,,,,Sokai Festival
2241,Gundam 00 Sky [Higher Than Sky Phase],00-00-5-01,346,5,,5,1,1,13,1742,1497,606,1750,1504,858,590,732,,,,,,Sokai Festival
2242,Beam Saber [Higher Than Sky Phase],00-00-6a-01,346,6,,5,1,1,9,1837,4751,0,710,0,858,365,,After 10s pass,Reduce Cooldown 50% once.,"After 10s pass, Reduce Cooldown 50% once.",1,2,Sokai Festival
2243,Beam Rifle [Higher Than Sky Phase],00-00-7a-01,346,7,,5,1,1,13,1316,300,4261,1310,0,700,365,,"While ""Gundam Type""",EX Skill power boosted 30%,"While ""Gundam Type"", EX Skill power boosted 30%",1,8,Sokai Festival
2244,Crossbone Gundam X1 Full Cloth,00-00-1-01,347,1,,5,2,6,10,1027,1120,4265,613,612,644,634,,With Saber category equipped,EX Skill power boosted 30%,"With Saber category equipped, EX Skill power boosted 30%",,,Sokai Festival
2245,Crossbone Gundam X1 Full Cloth,00-00-2-01,347,2,,5,2,6,10,1745,1595,1595,1106,1118,859,864,,With Rifle category equipped,Melee power boosted 30%,"With Rifle category equipped, Melee power boosted 30%",,,Sokai Festival
2246,Crossbone Gundam X1 Full Cloth,00-00-3-01,347,3,,5,2,6,9,1316,4261,1835,489,500,368,369,733,,,,,,Sokai Festival
2247,Crossbone Gundam X1 Full Cloth,00-00-4-01,347,4,,5,2,6,9,1312,1508,1030,1112,1114,879,880,734,,,,,,Sokai Festival
2248,Crossbone Gundam X1 Full Cloth,00-00-5-01,347,5,,5,2,6,9,1595,1510,1250,920,925,851,849,,When 1 enemies shot down,Buff EX Skill effect up 22%,"When 1 enemies shot down, Buff EX Skill effect up 22%",,,Sokai Festival
2249,Muramasa Blaster [Close Quarters/Full Cloth],00-00-6a-01,347,6,,5,2,6,10,1027,5298,85,0,0,759,761,593,,,,1,2,Sokai Festival
2250,Muramasa Blaster [Ranged/Full Cloth],00-00-7a-01,347,7,,5,2,6,10,1109,304,5298,0,0,641,638,,With Saber category equipped,Initial EX Skill charge boosted 20%,"With Saber category equipped, Initial EX Skill charge boosted 20%",1,8,Sokai Festival
2251,Peacock Smasher [Full Cloth],00-00-7a-01,347,7,,5,2,6,9,1109,304,5298,0,0,641,638,503,,,,1,8,Sokai Festival
2252,Grimgerde,00-00-1-01,348,1,,3,1,9,6,1071,352,2287,1071,352,149,367,,When attacking with Physical,EX Skill DMG output boosted by 20,"When attacking with Physical, EX Skill DMG output boosted by 20",,,Mask Coins (Weekly Event)
2253,Grimgerde,00-00-2-01,348,2,,3,1,9,6,1387,680,352,1530,680,0,515,,With Dual Sabers category equipped,EX Skill piercing boosted 22%,"With Dual Sabers category equipped, EX Skill piercing boosted 22%",,,Mask Coins (Weekly Event)
2254,Grimgerde,00-00-3-01,348,3,8,3,1,9,6,1071,3456,352,3723,1071,0,851,735,,,,,,Mask Coins (Weekly Event)
2255,Grimgerde,00-00-4-01,348,4,,3,1,9,20,680,680,352,1530,680,515,367,,Out-Fighter Job,EX Skill power boosted 25%,"Out-Fighter Job, EX Skill power boosted 25%",,,Mask Coins (Weekly Event)
2256,Valkyrja Blades,00-00-6-01,348,6,,3,1,9,6,554,3456,0,0,0,149,367,,"While ""High Mobility""",Initial EX Skill charge boosted 12%,"While ""High Mobility"", Initial EX Skill charge boosted 12%",2,4,Mask Coins (Weekly Event)
2257,Valkyrja Rifle,00-00-7c-01,348,7,,3,1,9,20,1071,0,2974,0,0,367,515,,After 20s pass,Reduce Cooldown 40% once.,"After 20s pass, Reduce Cooldown 40% once.",2,9,Mask Coins (Weekly Event)
2258,Gundam Groundsel,00-00-1-01,349,1,,5,1,10,9,1755,1115,3761,1593,1243,0,273,736,,,,,,Groundsel Materials (Event Blueprint)
2259,Gundam Groundsel,00-00-2-01,349,2,,5,1,10,9,2229,1422,1419,2039,1117,274,771,737,,,,,,Groundsel Materials (Event Blueprint)
2260,Gundam Groundsel,00-00-3-01,349,3,,5,1,10,6,2049,4267,1591,1946,0,0,0,,"While ""High Firepower""",Melee power boosted 30%,"While ""High Firepower"", Melee power boosted 30%",,,Groundsel Materials (Event Blueprint)
2261,Gundam Groundsel,00-00-4-01,349,4,,5,1,10,6,2115,1599,601,2041,1241,538,541,738,,,,,,Groundsel Materials (Event Blueprint)
2262,Gundam Groundsel,00-00-5-01,349,5,,5,1,10,6,1604,1593,602,1834,1239,536,774,,When Armor is 60% or more,Buff EX Skill effect up 22%,"When Armor is 60% or more, Buff EX Skill effect up 22%",,,Groundsel Materials (Event Blueprint)
2263,Groundsel Saber,00-00-6a-01,349,6,,5,1,10,6,1844,5206,0,0,0,483,583,,When Armor is 60% or more,Enemy Melee power reduced 30%,"When Armor is 60% or more, Enemy Melee power reduced 30%",1,2,Groundsel Materials (Event Blueprint)
2264,Heat Rod [Groundsel],00-00-6-01,349,6,,5,1,10,9,1844,5206,0,0,0,483,583,739,,,,2,7,Groundsel Materials (Event Blueprint)
2265,Beam Scythe [Groundsel],00-00-6-01,349,6,,5,1,10,6,1844,5206,0,0,0,483,583,740,,,,1,13,Groundsel Materials (Event Blueprint)
2266,Beam Rifle [Groundsel],00-00-7a-01,349,7,,5,1,10,9,1848,0,4770,504,0,373,538,,"While ""High Mobility""",Initial EX Skill charge boosted 20%,"While ""High Mobility"", Initial EX Skill charge boosted 20%",1,8,Groundsel Materials (Event Blueprint)
2267,Gundam GP-Rase-Two Ten,00-00-1-01,350,1,,5,3,10,26,2062,503,3793,503,503,275,275,741,,,,,,Pick-Up Drop Rate Step-Up Capsules [No.039] Bonus Coins
2268,Gundam GP-Rase-Two Ten,00-00-2-01,350,2,,5,3,10,6,2555,1036,1036,1036,1036,374,374,,When Armor is 60% or more,Shooting power boosted 30%,"When Armor is 60% or more, Shooting power boosted 30%",,,Pick-Up Drop Rate Step-Up Capsules [No.039] Bonus Coins
